No.,Twitter Trending Hashtags,Tweet Volume
1,#SubhashChandraBose,Under 10K Tweets
2,#wednesdaythought,11.1K Tweets
3,#LoveStory,14.6K Tweets
4,CBI Give Status On SSR,46.7K Tweets
5,#realmeGTIsHere,Under 10K Tweets
6,#NoFarmers_NoFuture,66.2K Tweets
7,MASTERY BEYOND SPEED,Under 10K Tweets
8,Designed To Empower,Under 10K Tweets
9,Shashi Tharoor,Under 10K Tweets
10,आजाद हिंद,16.1K Tweets
11,Azad Hind Fauj,Under 10K Tweets
12,भारतीय स्वतंत्रता संग्राम,Under 10K Tweets
13,श्री गणेश,18.5K Tweets
14,Deepest,Under 10K Tweets
15,percy jackson,13.8K Tweets
16,Om Shanthi,Under 10K Tweets
17,आजाद हिन्द,16.1K Tweets
18,Even Taliban,69.8K Tweets
19,Press Conference,70.4K Tweets
20,Hindutva,49.1K Tweets
21,WE DEMAND AN APOLOGY,55.9K Tweets
22,Good Morning Friends,15.5K Tweets
23,Finance Minister,12.3K Tweets
24,Brahmins,Under 10K Tweets
25,Epitome Of Strength Sushant,82.6K Tweets
26,I LOVE YOU 3000 TAEHYUNG,65.9K Tweets
27,India Today,23.3K Tweets
28,Meghalaya,Under 10K Tweets
29,#SunandaPushkar,Under 10K Tweets
30,#DedhBighaZameen,Under 10K Tweets
31,#सुभाष_चंद्र_बोस,Under 10K Tweets
32,#WednesdayMotivation,Under 10K Tweets
33,#Gulzar,Under 10K Tweets
34,#minarepakistan,43.3K Tweets
35,#MaharajaHarisinghHoliday23sep,23.2K Tweets
36,#SaiPallavi,Under 10K Tweets
37,#Kaapa,Under 10K Tweets
38,#GodMorningWednesday,30.8K Tweets
39,#NagaChaitanya,Under 10K Tweets
40,#NirmalaSitharaman,Under 10K Tweets
41,#SwaraBhasker,Under 10K Tweets
42,#NTR30,Under 10K Tweets
43,#Dikkiloona,Under 10K Tweets
44,#AmigosCreations,Under 10K Tweets
45,#नेताजी_सुभाष_चन्द्र_बोस,Under 10K Tweets
46,#wednesdayvibe,Under 10K Tweets
47,#IconicGoldAwards2021,18.1K Tweets
48,#BGMI,Under 10K Tweets
49,#Panditbajirao,Under 10K Tweets
50,#Naamsatsang,Under 10K Tweets
